index_adresse;numero_voie;complement_numero_voie;type_de_voie;nom_voie;code_postal;commune
1;190;A;RUE;CENTRALE;1 370 ;SAINT-ETIENNE-DU-BOIS
2;347;;RUE;DU CHATEAU;1 170 ;CHEVRY
3;58;;AV;DU MONT BLANC;1 220 ;DIVONNE-LES-BAINS
4;140;;RUE;DE L'ABBE JOLIVET;1 630 ;PERON
5;39;;RUE;BUFFON;1 200 ;VALSERHONE
6;28;;AV;JEAN FALCONNIER;1 350 ;CULOZ
7;8;;RUE;DE GENEVE;1 630 ;ST-GENIS-POUILLY
8;2;;RUE;DU RECULET;1 630 ;ST-GENIS-POUILLY
9;1403;;RUE;JEAN DE GINGINS;1 220 ;DIVONNE-LES-BAINS
10;226;;ALL;DES CAPUCINES;1 630 ;ST-GENIS-POUILLY
11;276;;RTE;DE POUGNY;1 630 ;PERON
12;79;;CRS;DE VERDUN;1 100 ;OYONNAX
13;77;B;RUE;DU COMMERCE;1 130 ;ST-GERMAIN-DE-JOUX
14;240;;RUE;DE PRE BAILLY;1 170 ;GEX
15;3;;RUE;TURENNE;1 200 ;VALSERHONE
16;44;;ALL;DU SQUARE DE LAUSANNE;1 220 ;DIVONNE-LES-BAINS
17;59;;RUE;ALEXANDRE BERARD;1 500 ;AMBERIEU-EN-BUGEY
18;282;;CHE;DES LONGES RAYES;1 170 ;CESSY
19;54;;GR;GRANDE RUE;1 150 ;SAULT-BRENAZ
20;1;;RUE;DE GEX;1 210 ;FERNEY-VOLTAIRE
21;17;;LOT;LES JARDINS DE CHEVRY;1 170 ;CHEVRY
22;329;;RUE;DES CARPIERES;1 170 ;SEGNY
23;369;;AV;CHARLES DE GAULLE;1 150 ;LAGNIEU
24;154;;RUE;SUR LA VIGNETTE;1 130 ;LE POIZAT-LALLEYRIAT
25;6;;RUE;DES USINIERS;1 170 ;GEX
26;2;;RUE;DU JURA;1 630 ;ST-GENIS-POUILLY
27;54;;RUE;MARCEL DEMIA;1 500 ;AMBERIEU-EN-BUGEY
28;269;;CHE;DE CHARIGNIN;1 300 ;BELLEY
29;322;;RUE;DE BRETIGNY;1 210 ;ORNEX
30;132;;ALL;DES HETRES;1 630 ;ST-GENIS-POUILLY
31;80;;RUE;DE MEYRIN;1 210 ;FERNEY-VOLTAIRE
32;4;;RUE;DE LA MAIRIE;1 350 ;CULOZ
33;79;;GR;GRANDE RUE DE BULLIEZ;1 150 ;LAGNIEU
34;8;;RUE;DE LA BIENNE;1 590 ;DORTAN
35;29;;RUE;REINE CLOTILDE;1 500 ;AMBERIEU-EN-BUGEY
36;3;;RUE;STE MARIE;1 300 ;BELLEY
37;956;;RTE;DE BOURG;1 150 ;LAGNIEU
