index_caracteristique_interieure;surface_carrez;type_local;nombre_ pieces_principales;index_adresse
1;50.42;Appartement;2;1
2;48.22;Appartement;3;2
3;130.8;Appartement;6;3
4;109.22;Maison;5;4
5;108.65;Appartement;4;5
6;31.65;Appartement;2;6
7;52.58;Appartement;2;7
8;58.71;Appartement;2;8
9;93.23;Maison;4;9
10;117;Maison;5;10
11;35.6;Appartement;2;11
12;138.03;Appartement;5;12
13;42;Appartement;2;13
14;45.36;Appartement;2;14
15;82.6;Appartement;4;15
16;88.11;Appartement;4;16
17;164.87;Appartement;6;17
18;42.2;Appartement;2;18
19;68.11;Appartement;3;19
20;82.59;Appartement;3;20
21;30.23;Appartement;1;21
22;24.8;Appartement;1;22
23;52.6;Appartement;2;23
24;91.69;Appartement;3;24
25;45.54;Appartement;1;25
26;84.24;Appartement;3;26
27;68.23;Appartement;3;27
28;62.03;Appartement;3;28
29;112.93;Maison;4;29
30;131.91;Appartement;4;30
31;63.58;Appartement;3;31
32;35.86;Appartement;3;32
33;70.09;Appartement;3;33
34;200;Appartement;4;34
35;54.84;Appartement;2;35
36;72.75;Appartement;4;36
37;94.09;Maison;2;37
38;71.08;Appartement;3;38
39;97.03;Maison;4;39
40;44.48;Appartement;2;40
41;64.21;Appartement;2;41
42;70.1;Maison;3;42
43;76.7;Appartement;4;43
44;133.77;Appartement;4;44
45;107.61;Appartement;5;45
46;42.78;Appartement;2;46
47;124.55;Maison;5;47
48;68.11;Appartement;2;48
49;70.78;Appartement;3;49
50;112.3;Appartement;5;50
51;95.43;Maison;4;51
52;63.45;Appartement;3;52
53;77.3;Appartement;4;53
54;164.18;Maison;6;54
55;66.95;Appartement;3;55
56;30.62;Appartement;1;56
57;165.92;Appartement;5;57
58;51.99;Appartement;2;58
59;63.17;Appartement;3;59
60;84.97;Appartement;3;60
61;88.7;Appartement;4;61
62;50.64;Appartement;2;62
63;38;Appartement;1;63
64;70.53;Appartement;3;64
65;105.68;Maison;6;65
66;46.12;Appartement;3;66
67;37.63;Appartement;2;67
68;87.38;Appartement;4;68
69;50.33;Appartement;2;69
70;134.17;Appartement;4;70
71;47.65;Appartement;3;71
72;99.13;Maison;4;72
73;43.42;Appartement;2;73
74;83.6;Maison;4;74
75;54.65;Appartement;2;75
76;81.15;Appartement;3;76
77;53.43;Appartement;3;77
78;74.85;Appartement;3;78
79;90.33;Maison;4;79
80;99.39;Maison;4;80
81;123.16;Maison;5;81
82;110.13;Maison;5;82
83;71.43;Appartement;3;83
84;56.02;Appartement;3;84
85;85.12;Appartement;4;85
86;75;Appartement;4;86
87;135.68;Appartement;4;87
88;35.59;Appartement;2;88
89;62.38;Appartement;3;89
90;92.04;Appartement;4;90
91;46.05;Appartement;2;91
92;34.56;Appartement;2;92
93;43.23;Appartement;2;93
94;83.82;Maison;4;94
95;38.67;Appartement;2;95
96;88;Appartement;3;96
97;56.96;Appartement;2;97
98;55.4;Appartement;3;98
99;74.72;Appartement;2;99
100;295.21;Appartement;6;100
101;222.97;Maison;3;101
102;113.52;Appartement;4;102
103;127.2;Appartement;4;103
104;47.6;Appartement;2;104
105;65.29;Appartement;3;105
106;81.24;Appartement;4;106
107;42.89;Appartement;2;107
108;69.66;Appartement;3;108
109;69.65;Appartement;3;109
110;64.44;Appartement;3;110
111;88.83;Appartement;4;111
112;35.3;Appartement;3;112
113;45.5;Appartement;2;113
114;73.77;Maison;4;114
115;67.94;Appartement;3;115
116;22.2;Appartement;1;116
117;48.38;Appartement;2;117
118;56.65;Appartement;2;118
119;32.27;Appartement;2;119
120;61.54;Appartement;4;120
121;82.37;Maison;4;121
122;53.81;Appartement;3;122
123;71.8;Appartement;3;123
124;63.54;Appartement;3;124
125;101.52;Maison;6;125
126;51.7;Appartement;2;126
127;114.17;Appartement;4;127
128;21.48;Appartement;2;128
129;36.21;Appartement;1;129
130;44.24;Appartement;2;130
131;54.7;Appartement;2;131
132;51;Appartement;2;132
133;42.92;Appartement;2;133
134;68.08;Appartement;3;134
135;70.15;Appartement;3;135
136;57.23;Appartement;2;136
137;132.16;Appartement;5;137
138;58.62;Appartement;2;138
139;61.89;Appartement;3;139
140;92.45;Appartement;3;140
141;71.29;Appartement;3;141
142;138.05;Maison;5;142
143;45.12;Appartement;1;143
144;70.45;Appartement;3;144
145;78.54;Appartement;4;145
146;52.58;Appartement;2;146
147;30.98;Appartement;2;147
148;95.66;Appartement;5;148
149;87.23;Appartement;4;149
150;92.47;Appartement;5;150
151;89.2;Appartement;5;151
152;28.8;Appartement;1;152
153;46.68;Appartement;2;153
154;2.36;Appartement;0;154
155;68.92;Appartement;3;155
156;68.45;Appartement;3;156
157;102.52;Maison;4;157
158;59.67;Appartement;2;158
159;77.86;Appartement;4;159
160;105.12;Maison;4;160
161;63.27;Appartement;3;161
162;133.24;Appartement;4;162
163;67.33;Appartement;3;163
164;68.69;Appartement;3;164
165;58.3;Appartement;2;165
166;111.06;Appartement;5;166
167;117.63;Appartement;5;167
168;85.12;Appartement;4;168
169;42.01;Appartement;2;169
170;96.46;Maison;5;170
171;57.5;Appartement;3;171
172;90.4;Appartement;4;172
173;42.59;Appartement;2;173
174;50.11;Appartement;1;174
175;32.6;Appartement;2;175
176;103.62;Maison;4;176
177;135.89;Appartement;2;177
178;166.98;Appartement;5;178
179;58.13;Appartement;2;179
180;38.67;Appartement;2;180
181;120.5;Maison;5;181
182;86.8;Appartement;3;182
183;41.82;Appartement;1;183
184;56.63;Appartement;2;184
185;79.06;Appartement;3;185
186;65.82;Appartement;3;186
187;38.43;Appartement;3;187
188;85.95;Appartement;4;188
189;48.42;Appartement;2;189
190;80.87;Maison;4;190
191;165.11;Appartement;6;191
192;71.5;Appartement;4;192
193;82.54;Appartement;3;193
194;39.97;Appartement;2;194
195;146.68;Appartement;4;195
196;31.6;Appartement;2;196
197;92;Maison;4;197
198;73.5;Appartement;3;198
199;23.82;Appartement;1;199
200;37.3;Appartement;2;200
201;49.1;Appartement;2;201
202;30.94;Appartement;1;202
203;65.66;Maison;3;203
204;27.19;Appartement;1;204
205;46.92;Appartement;2;205
206;78.3;Maison;4;206
207;88.5;Appartement;5;207
208;24.05;Appartement;1;208
209;92.54;Maison;4;209
210;60.05;Appartement;3;210
211;89;Appartement;5;211
212;23.86;Appartement;1;212
213;25;Appartement;3;213
214;148.41;Appartement;5;214
215;47.44;Appartement;2;215
216;80.14;Maison;4;216
217;53.42;Appartement;3;217
218;66.36;Appartement;3;218
219;28.13;Appartement;1;219
220;88.14;Maison;4;220
221;77.91;Appartement;3;221
222;26.4;Appartement;1;222
223;119.4;Appartement;4;223
224;33.49;Appartement;1;224
225;96.4;Appartement;4;225
226;53.22;Appartement;2;226
227;142.98;Appartement;5;227
228;50.16;Appartement;2;228
229;108.49;Appartement;4;229
230;29.16;Appartement;1;230
231;79.27;Maison;4;231
232;64.21;Appartement;4;232
233;121.9;Appartement;5;233
234;145.28;Maison;4;234
235;49.99;Appartement;3;235
236;58.67;Appartement;2;236
237;55.74;Maison;3;237
238;77.56;Appartement;5;238
239;49.33;Appartement;2;239
240;47.02;Appartement;3;240
241;37.18;Appartement;2;241
242;106;Maison;6;242
243;39.62;Maison;3;243
244;81.62;Appartement;4;244
245;41.42;Appartement;1;245
246;62.15;Appartement;3;246
247;59.81;Appartement;4;247
248;20.45;Appartement;1;248
249;89.56;Appartement;3;249
250;570;Maison;6;250
251;21.4;Appartement;1;251
252;49.46;Appartement;2;252
253;45.12;Appartement;2;253
254;68.95;Appartement;3;254
255;76.95;Appartement;3;255
256;72.93;Appartement;2;256
257;65.9;Appartement;3;257
258;31.84;Appartement;2;258
259;20.69;Appartement;1;259
260;29.36;Appartement;1;260
261;67.85;Appartement;3;261
262;51.07;Appartement;3;262
263;29.21;Appartement;1;263
264;23.7;Appartement;1;264
265;73.94;Appartement;3;265
266;93.89;Maison;6;266
267;68.37;Appartement;3;267
268;73.65;Appartement;3;268
269;31.62;Appartement;1;269
270;60.2;Appartement;3;270
271;48.5;Appartement;3;271
272;57.74;Appartement;3;272
273;78.24;Appartement;4;273
274;64.24;Appartement;3;274
275;34.46;Appartement;2;275
276;124.01;Appartement;3;276
277;34.9;Appartement;1;277
278;22.19;Appartement;1;278
279;83.87;Appartement;4;279
280;107.77;Maison;5;280
281;61.4;Appartement;4;281
282;128.8;Maison;5;282
283;58.46;Appartement;3;283
284;40.06;Appartement;2;284
285;78.3;Appartement;4;285
286;106;Appartement;5;286
287;74.54;Appartement;3;287
288;81.72;Appartement;3;288
289;67.64;Appartement;4;289
290;42.98;Appartement;2;290
291;40.57;Appartement;2;291
292;105.71;Appartement;4;292
293;106.43;Appartement;4;293
294;29.74;Appartement;1;294
295;65.4;Appartement;3;295
296;144.6;Appartement;4;296
297;24.74;Appartement;1;297
298;32.89;Appartement;1;298
299;20.92;Appartement;1;299
300;93.76;Appartement;4;300
301;20.73;Appartement;1;301
302;26.6;Appartement;2;302
303;40;Appartement;3;303
304;27.46;Appartement;1;304
305;51.42;Appartement;2;305
306;71.39;Maison;3;306
307;41.16;Appartement;2;307
308;65.5;Appartement;2;308
309;34.95;Appartement;2;309
310;60.66;Appartement;3;310
311;24.32;Appartement;1;311
312;23.02;Appartement;1;312
313;59.73;Appartement;2;313
314;33.05;Appartement;2;314
315;23.25;Appartement;1;315
316;30.47;Appartement;2;316
317;28.33;Appartement;1;317
318;35.97;Appartement;1;318
319;20.85;Maison;2;319
320;20.55;Appartement;1;320
321;142.9;Appartement;5;321
322;18.44;Appartement;1;322
323;26.76;Appartement;1;323
324;53.1;Appartement;2;324
325;35.2;Appartement;2;325
326;18.84;Appartement;1;326
327;80.26;Appartement;3;327
328;76.81;Appartement;4;328
329;79.54;Appartement;3;329
330;72.07;Appartement;2;330
331;29.66;Appartement;2;331
332;29.03;Appartement;2;332
333;82.37;Maison;5;333
334;33.8;Appartement;2;334
335;19.72;Appartement;1;335
336;15;Appartement;4;336
337;58.96;Appartement;3;337
338;42.73;Appartement;2;338
339;25.32;Appartement;1;339
340;14.41;Appartement;1;340
341;38.97;Appartement;2;341
342;44.44;Appartement;3;342
343;27.26;Maison;1;343
344;83.88;Appartement;5;344
345;25.55;Appartement;2;345
346;40.4;Appartement;1;346
347;136.86;Appartement;2;347
348;90.75;Appartement;4;348
349;59.36;Maison;2;349
350;26.99;Appartement;1;350
351;67.22;Appartement;3;351
352;39.16;Appartement;2;352
353;25.07;Appartement;1;353
354;63.73;Appartement;3;354
355;102.87;Appartement;4;355
356;82.11;Appartement;4;356
357;23.35;Appartement;1;357
358;30.05;Appartement;1;358
359;49.2;Appartement;2;359
360;24.25;Appartement;1;360
361;37.55;Appartement;2;361
362;108.85;Appartement;2;362
363;73.99;Appartement;3;363
364;28.02;Appartement;1;364
365;22.91;Appartement;1;365
366;27.36;Appartement;1;366
367;27.22;Appartement;1;367
368;92.94;Maison;4;368
369;30.95;Appartement;1;369
370;62.43;Appartement;2;370
371;35.71;Appartement;1;371
372;61.53;Appartement;2;372
373;27.18;Appartement;1;373
374;18;Appartement;1;374
375;24.87;Appartement;1;375
376;62.85;Appartement;3;376
377;56.52;Appartement;3;377
378;52.45;Appartement;4;378
379;67;Appartement;4;379
380;28.48;Appartement;1;380
381;54.33;Appartement;3;381
382;35.65;Appartement;2;382
383;21.35;Appartement;1;383
384;32.84;Appartement;1;384
385;19.28;Appartement;1;385
386;55.5;Appartement;2;386
387;73.48;Appartement;4;387
388;75.06;Appartement;3;388
389;83.46;Appartement;4;389
390;89.06;Maison;4;390
391;25.08;Appartement;2;391
392;26.41;Appartement;1;392
393;54.79;Appartement;4;393
394;42.72;Appartement;2;394
395;45.2;Appartement;2;395
396;44.24;Appartement;2;396
397;41.7;Appartement;1;397
