index_mutation;valeur_fonciere;date_mutation;index_adresse
1;56000;03/02/20;1
2;165000;02/01/20;2
3;720000;08/01/20;3
4;429250;06/01/20;4
5;220900;07/01/20;5
6;42000;21/01/20;6
7;262000;07/01/20;7
8;190000;08/01/20;8
9;563130;16/01/20;9
10;535000;17/01/20;10
11;330000;16/01/20;11
12;110600;27/01/20;12
13;50000;30/01/20;13
14;212000;09/01/20;14
15;160000;15/01/20;15
16;561550;20/01/20;16
17;358000;28/01/20;17
18;220000;22/01/20;18
19;79300;27/01/20;19
20;285000;06/01/20;20
21;123100;27/01/20;21
22;107500;16/01/20;22
23;128810;30/01/20;23
24;31000;05/02/20;24
25;125000;21/01/20;25
26;285000;31/01/20;26
27;140500;03/02/20;27
28;101050;27/01/20;28
29;530000;31/01/20;29
30;486415;29/01/20;30
31;185000;28/01/20;31
32;131376;16/01/20;32
33;155000;23/01/20;33
34;150000;31/01/20;34
35;67000;03/02/20;35
36;114000;13/01/20;36
37;143850;07/02/20;37
38;237900;23/01/20;38
39;425000;24/01/20;39
40;220000;06/02/20;40
41;55000;07/02/20;41
42;164665;07/02/20;42
43;89000;10/02/20;43
44;475150;06/02/20;44
45;132500;12/02/20;45
46;68000;05/02/20;46
47;570840;30/01/20;47
48;135700;03/02/20;48
49;62500;05/02/20;49
50;332500;03/02/20;50
51;428000;07/02/20;51
52;210000;28/01/20;52
53;50000;12/02/20;53
54;592487;28/01/20;54
55;295000;10/02/20;55
56;133000;12/02/20;56
57;580450;29/01/20;57
58;105500;20/02/20;58
59;152900;04/02/20;59
60;352300;05/02/20;60
61;215000;17/02/20;61
62;128460;14/02/20;62
63;90500;14/02/20;63
64;305500;11/02/20;64
65;430000;18/02/20;65
66;152470;04/02/20;66
67;55000;13/02/20;67
68;465660.47;18/02/20;68
69;167550;12/02/20;69
70;212862;11/02/20;70
71;54000;19/02/20;71
72;390000;14/02/20;72
73;160000;24/02/20;73
74;156580;25/02/20;74
75;129258;18/02/20;75
76;210000;28/02/20;76
77;189350;17/02/20;77
78;310000;21/02/20;78
79;435000;25/02/20;79
80;505000;20/02/20;80
81;442100;25/02/20;81
82;506000;17/02/20;82
83;292000;12/02/20;83
84;200000;03/03/20;84
85;315800;27/02/20;85
86;167000;28/02/20;86
87;640000;25/02/20;87
88;74000;28/02/20;88
89;232550;04/03/20;89
90;90000;04/03/20;90
91;282000;09/03/20;91
92;152000;03/03/20;92
93;164000;17/03/20;93
94;389500;05/03/20;94
95;43000;11/03/20;95
96;139130;28/02/20;96
97;229100;11/03/20;97
98;222450;10/03/20;98
99;147500;16/03/20;99
100;440000;10/03/20;100
101;495000;02/03/20;101
102;510000;11/03/20;102
103;170000;27/03/20;103
104;251500;03/03/20;104
105;98000;19/03/20;105
106;132300;25/03/20;106
107;126000;10/03/20;107
108;131500;16/03/20;108
109;266960;12/03/20;109
110;114500;31/03/20;110
111;181970;11/03/20;111
112;70000;19/03/20;112
113;45000;01/04/20;113
114;375000;07/04/20;114
115;247000;18/03/20;115
116;16300;16/03/20;116
117;60000;16/03/20;117
118;164000;31/03/20;118
119;93585;17/03/20;119
120;210000;03/04/20;120
121;120000;14/03/20;121
122;50000;10/04/20;122
123;174850;03/04/20;123
124;223905;22/04/20;124
125;540000;15/04/20;125
126;230000;15/04/20;126
127;445000;08/04/20;127
128;44000;27/04/20;128
129;145900;09/04/20;129
